     563.049988     583.450012       1.000000      20.400024
     649.750000     682.900024       2.000000      33.150024
     787.450012     841.000000       3.000000      53.549988
     848.650024     886.900024       4.000000      38.250000
     904.750000     950.650024       5.000000      45.900024
    1001.650024    1050.099976       6.000000      48.449951
    1088.349976    1177.599976       7.000000      89.250000
    1200.550049    1236.250000       8.000000      35.699951
    1243.900024    1269.400024       9.000000      25.500000
    1282.150024    1307.650024      10.000000      25.500000
    1320.400024    1445.349976      11.000000     124.949951
    2006.349976    2021.650024      12.000000      15.300049
    2498.500000    2539.300049      13.000000      40.800049
    2549.500000    2569.900146      14.000000      20.400146
    2580.100098    2620.900146      15.000000      40.800049
    2684.650146    2809.600098      16.000000     124.949951
    2875.900146    3008.500000      17.000000     132.599854
    3041.650146    3146.199951      18.000000     104.549805
    3176.800049    3187.000000      19.000000      10.199951
    3301.750000    3385.900146      20.000000      84.150146
    3406.300049    3442.000000      21.000000      35.699951
    3477.699951    3493.000000      22.000000      15.300049
